B;C;D;E;F
15/12/2015;DG#09;0;0;#DIV/0!
15/12/2015;DG#10;0;0;#DIV/0!
15/12/2015;DG#11;0;0;#DIV/0!
15/12/2015;DG#12;0;0;#DIV/0!
15/12/2015;DG#13;0;0;#DIV/0!
15/12/2015;DG#14;0;0;#DIV/0!
15/12/2015;DG#15;0;0;#DIV/0!
15/12/2015;DG#16;0;0;#DIV/0!
15/12/2015;DG#17;0;0;#DIV/0!
15/12/2015;DG#18;206080;43802;212,55
15/12/2015;DG#19;206592;42952;207,91
15/12/2015;DG#20;0;2;#DIV/0!
15/12/2015;DG#21;44400;9304;209,55
15/12/2015;DG#22;64104;13696;213,65
15/12/2015;DG#23;80976;16942;209,22
16/12/2015;DG#01;0;0;#DIV/0!
16/12/2015;DG#02;0;0;#DIV/0!
16/12/2015;DG#03;0;2;#DIV/0!
16/12/2015;DG#04;0;0;#DIV/0!
16/12/2015;DG#05;0;0;#DIV/0!
16/12/2015;DG#06;0;0;#DIV/0!
16/12/2015;DG#07;0;0;#DIV/0!
16/12/2015;DG#08;0;0;#DIV/0!
16/12/2015;DG#09;0;0;#DIV/0!
16/12/2015;DG#10;0;0;#DIV/0!
16/12/2015;DG#11;0;0;#DIV/0!
16/12/2015;DG#12;0;0;#DIV/0!
16/12/2015;DG#13;0;0;#DIV/0!
16/12/2015;DG#14;0;0;#DIV/0!
16/12/2015;DG#15;0;0;#DIV/0!
16/12/2015;DG#16;0;0;#DIV/0!
16/12/2015;DG#17;0;0;#DIV/0!
16/12/2015;DG#18;203704;43298;212,55
16/12/2015;DG#19;207096;43110;208,16
16/12/2015;DG#20;0;0;#DIV/0!
16/12/2015;DG#21;194864;40736;209,05
16/12/2015;DG#22;0;0;#DIV/0!
16/12/2015;DG#23;0;0;#DIV/0!
17/12/2015;DG#01;0;2;#DIV/0!
17/12/2015;DG#02;0;0;#DIV/0!
17/12/2015;DG#03;0;2;#DIV/0!
17/12/2015;DG#04;0;0;#DIV/0!
17/12/2015;DG#05;0;0;#DIV/0!
17/12/2015;DG#06;0;2;#DIV/0!
